what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264875700923
java.vm.specification.version,sysinfo,,,"1.0",1264875700923
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1264875700923
java.vm.version,sysinfo,,,"14.1-b02",1264875700923
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264875707324
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264875746119
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264875749340
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264875752914
error,log,,,"Could not write: /home/juanjux/reader/GroundhogReader/.metadata/.mylyn/repositories.xml.zip",1264875753390
error,log,,,"Problems saving workspace",1264875755671
error,log,,,"Problems occurred while trying to save the state of the workbench.",1264875755673
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1264875756023
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1264875756024
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1264875756025
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1264875756026
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1264875756029
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1264875756030
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1264875756030
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1264875756031
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.core",1264875756032
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.408.v200904211646,"org.eclipse.jst.ws.creation.ui",1264875756033
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.105.v200908192014,"org.eclipse.jst.ws.consumption.ui",1264875756034
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.407.v200905191120,"org.eclipse.jst.ws.consumption",1264875756035
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.400.v200901261650,"org.eclipse.jst.ws.uddiregistry",1264875756036
stopped,bundle,org.eclipse.jst.ws.ui,1.0.402.v200903111822,"org.eclipse.jst.ws.ui",1264875756037
